CustomerID,CustomerName,Gender,Age,Email,Phone,City,State,Country,Membership,SignupDate
107402,Priya Kulkarni,Male,32.0,priya.kulkarni77@gmail.com,9709960109,Lucknow,Uttar Pradesh,India,Bronze,2021-05-05
105835,Ananya Banerjee,Male,47.0,ananya.banerjee593@yahoo.com,9213417734,Chandigarh,Chandigarh,India,Bronze,2019-01-02
102123,Aarav Das,Male,48.0,aarav.das123@hotmail.com,9310160531,Kochi,Kerala,India,Bronze,2020-08-03
108789,Diya Patel,Male,22.0,diya.patel68@hotmail.com,9968083072,Lucknow,Uttar Pradesh,India,Platinum,2023-12-04
100305,Karan Yadav,Female,46.0,karan.yadav336@gmail.com,9891291258,Jaipur,Rajasthan,India,Silver,2023-06-30
102532,Sneha Kulkarni,Female,61.0,sneha.kulkarni762@outlook.com,9608856246,Patna,Bihar,India,Bronze,2021-06-15
102996,Akash Nair,Male,43.0,akash.nair610@outlook.com,9237459352,Lucknow,Uttar Pradesh,India,Gold,2021-12-08
107660,Priya Sharma,Female,39.0,priya.sharma583@outlook.com,9793061271,Chennai,Tamil Nadu,India,Bronze,2024-11-01
108225,Ananya Das,Female,24.0,ananya.das600@outlook.com,9669372856,Chandigarh,Chandigarh,India,Bronze,2021-09-08
104449,Ananya Sharma,Female,27.0,ananya.sharma7@gmail.com,9752302315,Bengaluru,Karnataka,India,Silver,2025-12-02
103621,Ananya Kulkarni,Male,55.0,ananya.kulkarni830@hotmail.com,9313168188,Patna,Bihar,India,Silver,2021-10-10
109211,Isha Banerjee,Male,66.0,isha.banerjee246@outlook.com,9945596440,Hyderabad,Telangana,India,Gold,2020-06-04
105023,Aarav Singh,Female,49.0,aarav.singh813@gmail.com,9036531678,Bhubaneswar,Odisha,India,Platinum,2025-03-25
107924,Pooja Das,Female,59.0,pooja.das377@yahoo.com,9847845300,Bengaluru,Karnataka,India,Silver,2025-05-28
104476,Neha Patel,Female,20.0,neha.patel923@yahoo.com,9318950075,Chandigarh,Chandigarh,India,Silver,2020-12-30
106709,Ananya Nair,Female,53.0,ananya.nair927@gmail.com,9168130020,Hyderabad,Telangana,India,Bronze,2024-02-13
100108,Vivaan Das,Female,44.0,vivaan.das842@gmail.com,9102578635,Mumbai,Maharashtra,India,Silver,2023-06-30
103320,Aditya Nair,Female,69.0,aditya.nair668@hotmail.com,9213400543,Chandigarh,Chandigarh,India,Bronze,2023-08-30
